"kierunek";"wynagrodzenie";"uczelnia";"rok";"forma";"poziom";"wskaznik";"binary";"wojewÛdztwo";"stopa_bezr";"absolwenci"
" Kulturoznawstwo ";2858,59;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.53 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Polityka spo≥eczna ";2322,91;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.52 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Kognitywistyka ";2503,65;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.52 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Administracja ";2225;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Niestacjonarne";"I stopnia";" 0.52 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Psychologia ";2877,45;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Niestacjonarne";"Jednolite-magisterskie";" 0.52 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Biochemia ";2639,34;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.52 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Zarzπdzanie ";2277;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.51 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Neurobiologia ";2785,36;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.5 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Administracja ";2753,48;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.5 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Chemia ";2481,88;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.5 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Polityka spo≥eczna ";2258,6;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.49 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Ochrona úrodowiska ";2372,52;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.49 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Historia ";2568,14;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.49 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Fizjoterapia ";2515,17;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.49 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Edytorstwo ";2381,31;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.49 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" BezpieczeÒstwo narodowe ";2512,84;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.49 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Dziennikarstwo i komunikacja spo≥eczna ";2246,91;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.48 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" E-gospodarka przestrzenna ";2128,68;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.48 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Zaawansowane materia≥y i nanotechnologia ";2241,17;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.48 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Zarzπdzanie informacjπ ";2503,46;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.47 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Psychologia ";2593,91;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Niestacjonarne";"Jednolite-magisterskie";" 0.47 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Zarzπdzanie kulturπ i mediami ";2352;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.46 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Neofilologia; specjalizacja: filologia angielska ";2014,54;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.46 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Biologia ";2189,73;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.46 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Fizjoterapia ";2168,24;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Niestacjonarne";"II stopnia";" 0.45 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" JÍzyk polski w komunikacji spo≥ecznej ";2039,47;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.45 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Edytorstwo ";2172,59;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.44 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Dietetyka ";2344,9;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.44 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Archeologia ";2608,02;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.44 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Neofilologia; specjalizacja: filologia wÍgierska ";2194,59;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.44 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Filmoznawstwo i wiedza o nowych mediach ";2311,35;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.44 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" International Relations and Area Studies ";2716,71;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.44 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Edytorstwo ";2172,59;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.44 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Studia azjatyckie ";2357,69;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.44 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Wiedza o teatrze ";1829,44;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.43 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Politologia ";2335,81;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.43 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Studia eurazjatyckie ";2004,04;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.42 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Kierunek lekarsko-dentystyczny ";2203,52;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"Jednolite-magisterskie";" 0.42 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Wiedza o teatrze ";1872,5;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.42 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Geologia ";1651,23;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.41 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Stosunki miÍdzynarodowe ";2105,93;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.41 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Kosmetologia ";1954,09;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.41 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Kierunek lekarsko-dentystyczny ";2167,84;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Niestacjonarne";"Jednolite-magisterskie";" 0.4 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Kulturoznawstwo ";2136,36;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.4 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Geografia ";1700,82;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.39 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Biotechnologia ";1901,23;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.39 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Ochrona dÛbr kultury ";1867,8;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.38 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Kulturoznawstwo ";1758,78;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.38 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Etnologia i antropologia kulturowa ";1728,3;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.38 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Pedagogika specjalna ";1927,4;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.38 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Neofilologia; specjalizacja: kultura Rosji i narodÛw sπsiednich ";2153,07;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.36 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Filologia polska ";1888,32;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.34 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Neofilologia; specjalizacja: filologia orientalna - arabistyka ";1543,32;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.34 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Biologia ";1452,08;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.34 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Europeistyka ";1579,13;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.33 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Relacje miÍdzykulturowe ";1468,46;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.33 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Etnologia i antropologia kulturowa ";1780,65;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.33 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Historia sztuki ";1501,85;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.32 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Polonistyka - komparatystyka ";1193,61;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.31 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Pedagogika ";1222,16;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.29 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Filmoznawstwo i wiedza o nowych mediach ";1577,45;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.29 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Historia ";1299,23;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.27 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Filozofia ";1318,35;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.26 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Filozofia ";1140,26;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"II stopnia";" 0.21 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Zdrowie publiczne ";1005,55;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.2 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Fizjoterapia ";923,33;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.2 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" Neofilologia; specjalizacja: filologia hiszpaÒska ";1073,93;" Uniwersytet JagielloÒski w Krakowie ";"2018";"Stacjonarne";"I stopnia";" 0.19 ";"Pierwszy prog";"ma≥opolskie";4,7;128
" PielÍgniarstwo ";4219,59;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.99 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Po≥oønictwo ";3762,39;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.86 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Historia ";3153,22;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.82 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" BezpieczeÒstwo narodowe ";3176,67;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"II stopnia";" 0.77 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Zdrowie publiczne ";3248,13;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.75 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Matematyka ";3017,38;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.7 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Filologia; specjalizacja: filologia angielska ";3370,79;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"II stopnia";" 0.69 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Ratownictwo medyczne ";2632,3;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.65 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Ekonomia ";2878,62;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"II stopnia";" 0.64 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Filologia; specjalizacja: filologia angielska ";2377,15;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.63 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Po≥oønictwo ";2783,37;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.62 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Fizjoterapia ";2613,27;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"II stopnia";" 0.61 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" BezpieczeÒstwo narodowe ";2634,61;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.59 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Logistyka ";2557,32;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.58 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Pedagogika ";2399,18;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"II stopnia";" 0.58 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Mechatronika ";2660,24;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.58 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Ratownictwo medyczne ";2533,75;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.58 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Chemia ";2248,13;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.57 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" PielÍgniarstwo ";2463,63;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.57 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Zarzπdzanie ";2473,08;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.57 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Praca socjalna ";2255,97;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.57 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Administracja ";2225,71;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"II stopnia";" 0.56 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Zarzπdzanie ";2405,88;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"II stopnia";" 0.56 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Fizjoterapia ";2303,15;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.56 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Filologia; specjalizacja: filologia angielska ";2140,84;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.55 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Pedagogika ";2320,01;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.55 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" BezpieczeÒstwo narodowe ";2225;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.55 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Administracja ";2354,83;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.54 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Filologia polska ";2030,93;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.52 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Informatyka ";2442,27;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.52 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Filologia; specjalizacja: filologia germaÒska ";2410,95;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.51 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Finanse i rachunkowoúÊ ";2180,99;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.51 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Ekonomia ";2377,56;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.51 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Biotechnologia ";2382,98;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.51 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Pedagogika ";2069,91;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.51 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Zarzπdzanie ";2193,29;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.5 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Pedagogika ";2087,27;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.5 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" BezpieczeÒstwo narodowe ";2118,9;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.49 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Edukacja artystyczna w zakresie sztuki muzycznej ";2197,71;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.48 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Filologia; specjalizacja: filologia angielska ";2074,1;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.48 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Pedagogika ";2170,91;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Niestacjonarne";"I stopnia";" 0.48 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Ekonomia ";1987,23;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.47 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Biologia ";2005,34;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.47 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Pedagogika ";1883,67;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.45 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Logistyka ";1888,62;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.44 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Fizjoterapia ";1844,39;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.43 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Historia ";1662;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.43 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Edukacja artystyczna w zakresie sztuk plastycznych ";1869,88;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.42 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Matematyka ";1682,93;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.42 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Filologia polska ";1662;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.42 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Zarzπdzanie ";1685,63;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.41 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Biotechnologia ";1834,55;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.4 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Dziennikarstwo i komunikacja spo≥eczna ";1845,37;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.4 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Ekonomia ";1873,93;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.4 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Ekonomia ";1740,86;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.4 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Filologia; specjalizacja: filologia rosyjska ";1734,94;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.4 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Finanse i rachunkowoúÊ ";1933,2;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.39 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Kosmetologia ";1515,24;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.38 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Zarzπdzanie ";1438,26;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.37 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" BezpieczeÒstwo narodowe ";1550,53;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.37 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Filologia; specjalizacja: filologia angielska ";1547,13;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.37 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Dziennikarstwo i komunikacja spo≥eczna ";1646,87;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.36 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Wzornictwo ";1677,07;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.36 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Praca socjalna ";1495,8;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.35 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Administracja ";1525,47;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.35 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Pedagogika ";1476,64;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.34 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Wychowanie fizyczne ";1223,63;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.32 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Kosmetologia ";1492,63;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.32 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Ochrona úrodowiska ";1504,26;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"II stopnia";" 0.32 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Administracja ";1346,12;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.31 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Turystyka i rekreacja ";1329,38;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.3 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
" Fizjoterapia ";1324,8;" Uniwersytet Jana Kochanowskiego w Kielcach ";"2018";"Stacjonarne";"I stopnia";" 0.29 ";"Pierwszy prog";"úwiÍtokrzyskie";8,3;57
